Name,RequestedAngleRadians,FocalDistance,HorizontalExtent,VerticalExtent,HeightField,AspectRatio
BUILD17_WIDE,1.5707963267948966,100,299.99999999999994,199.99999999999997,1.5707963267948966,1.5
BUILD17_MEDIUM,0.5829135889557342,100,90,60,0.5829135889557342,1.5
BUILD17_NARROW,0.049989587237840319,100,7.5,5,0.049989587237840319,1.5
BUILD17A_0_049,0.049,100,7.3514709656798694,4.9009806437865793,0.049,1.5
BUILD17A_0_050,0.05,100,7.5015628907238439,5.0010419271492292,0.05,1.5
BUILD17A_0_075,0.075,100,11.255276405497968,7.503517603665312,0.075,1.5
BUILD17A_0_099999,0.099999,100,15.012362137039512,10.008241424693008,0.099999,1.5
BUILD17A_0_100000,0.1,100,15.012512512661637,10.008341675107758,0.1,1.5
BUILD17A_0_100001,0.100001,100,15.012662888291286,10.008441925527524,0.100001,1.5
BUILD17A_0_125,0.125,100,18.774452269882509,12.516301513255005,0.125,1.5000000000000002
BUILD17A_0_150,0.15,100,22.54228263848551,15.028188425657007,0.15,1.5
BUILD17A_10DEG_MINUS,0.17453192519943295,100,26.246447909643877,17.497631939762584,0.17453192519943295,1.5
BUILD17A_10DEG_EXACT,0.17453292519943295,100,26.246599057777203,17.497732705184802,0.17453292519943295,1.5
BUILD17A_10DEG_PLUS,0.17453392519943295,100,26.246750205923753,17.497833470615834,0.17453392519943295,1.5
BUILD17A_0_200,0.2,100,30.100401625635165,20.06693441709011,0.2,1.5
BUILD17A_0_250,0.25,100,37.696540972539296,25.131027315026195,0.25,1.5000000000000002
BUILD17A_FOCAL_9_999,0.05,9.999,0.75008127344347719,0.50005418229565146,0.05,1.5
BUILD17A_FOCAL_10_000,0.05,10,0.7501562890723843,0.5001041927149229,0.049999999999999996,1.5
BUILD17A_FOCAL_10_001,0.05,10.001,0.75023130470129162,0.50015420313419445,0.05000000000000001,1.5
BUILD17A_FOCAL_20,0.5829135889557342,20,18,12,0.5829135889557342,1.5
BUILD17A_FOCAL_100_MEDIUM,0.5829135889557342,100,90,60,0.5829135889557342,1.5
